UID          PID    PPID  C STIME TTY          TIME CMD
ben          888     800  0 19:09 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
root         896       1  0 19:09 ?        00:00:00 /usr/lib/upower/upowerd
ben          902     816  0 19:09 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
ben          987       1  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --clipboard
ben          988     987  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --clipboard
ben          999       1  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --seamless
ben         1000     999  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --seamless
ben         1006       1  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
ben         1007    1006  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
ben         1014       1  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
ben         1015    1014  0 19:09 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
ben         1021     902  0 19:09 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
ben         1053     800  0 19:09 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
ben         1058    1053  0 19:09 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
ben         1071     800  0 19:09 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ben         1077     800  0 19:09 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ben         1092     800  1 19:09 ?        00:00:08 /usr/bin/gnome-shell
ben         1115    1092  0 19:09 ?        00:00:00 ibus-daemon --panel disable --xim
ben         1119    1115  0 19:09 ?        00:00:00 /usr/libexec/ibus-memconf
ben         1120    1115  0 19:09 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
ben         1124     800  0 19:09 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
ben         1126     800  0 19:09 ?        00:00:00 /usr/libexec/ibus-portal
ben         1137     800  0 19:09 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ben         1141     800  0 19:09 ?        00:00:00 /usr/libexec/xdg-permission-store
ben         1146     800  0 19:09 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ben         1152     800  0 19:09 ?        00:00:00 /usr/libexec/evolution-source-registry
ben         1162     800  0 19:09 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ben         1170     800  0 19:09 ?        00:00:00 /usr/libexec/dconf-service
ben         1176     800  0 19:09 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1194       1  0 19:10 ?        00:00:00 /usr/lib/packagekit/packagekitd
